"timepoint_yyyymm","unemployment_rate","year","rolling_minimum","quarterly_rate_minus_rolling_minimum","sahm_rule_triggered"
"1978-02",6.6441245,1978,NA,NA,FALSE
"1978-03",6.3023105,1978,NA,NA,FALSE
"1978-04",6.2672029,1978,NA,NA,FALSE
"1978-05",6.2091692,1978,NA,NA,FALSE
"1978-06",6.3028853,1978,NA,NA,FALSE
"1978-07",6.2224431,1978,NA,NA,FALSE
"1978-08",6.4898725,1978,NA,NA,FALSE
"1978-09",6.2562339,1978,NA,NA,FALSE
"1978-10",6.1628425,1978,NA,NA,FALSE
"1978-11",6.3308152,1978,NA,NA,FALSE
"1978-12",6.4053121,1978,NA,NA,FALSE
"1979-01",6.3714821,1979,6.1628425,0.2086396,FALSE
"1979-02",6.2566016,1979,6.1628425,0.0937590999999998,FALSE
"1979-03",6.3025845,1979,6.1628425,0.139742,FALSE
"1979-04",6.4980478,1979,6.1628425,0.3352053,FALSE
"1979-05",6.2033358,1979,6.1628425,0.0404932999999996,FALSE
"1979-06",6.250664,1979,6.1628425,0.0878215000000004,FALSE
"1979-07",6.2731554,1979,6.1628425,0.1103129,FALSE
"1979-08",6.1176889,1979,6.1176889,0,FALSE
"1979-09",6.2312488,1979,6.1176889,0.1135599,FALSE
"1979-10",6.3832354,1979,6.1176889,0.2655465,FALSE
"1979-11",6.0445504,1979,6.0445504,0,FALSE
"1979-12",6.1199867,1979,6.0445504,0.0754362999999998,FALSE
"1980-01",6.1465904,1980,6.0445504,0.10204,FALSE
"1980-02",5.9980759,1980,5.9980759,0,FALSE
"1980-03",5.9360886,1980,5.9360886,0,FALSE
"1980-04",6.1140179,1980,5.9360886,0.177929300000001,FALSE
"1980-05",6.2454099,1980,5.9360886,0.309321300000001,FALSE
"1980-06",6.3221102,1980,5.9360886,0.3860216,FALSE
"1980-07",6.0764695,1980,5.9360886,0.1403809,FALSE
"1980-08",6.1765157,1980,5.9360886,0.240427100000001,FALSE
"1980-09",6.1398729,1980,5.9360886,0.203784300000001,FALSE
"1980-10",6.0545932,1980,5.9360886,0.118504600000001,FALSE
"1980-11",5.8498359,1980,5.8498359,0,FALSE
"1980-12",6.0508214,1980,5.8498359,0.2009855,FALSE
"1981-01",5.9154598,1981,5.8498359,0.0656238999999994,FALSE
"1981-02",5.6159664,1981,5.6159664,0,FALSE
"1981-03",5.7454564,1981,5.6159664,0.129490000000001,FALSE
"1981-04",5.5543998,1981,5.5543998,0,FALSE
"1981-05",5.5882322,1981,5.5543998,0.0338324000000005,FALSE
"1981-06",5.3733432,1981,5.3733432,0,FALSE
"1981-07",5.8271164,1981,5.3733432,0.453773200000001,FALSE
"1981-08",5.8455428,1981,5.3733432,0.4721996,FALSE
"1981-09",5.8108859,1981,5.3733432,0.4375427,FALSE
"1981-10",5.8719026,1981,5.3733432,0.4985594,FALSE
"1981-11",5.9945959,1981,5.3733432,0.6212527,TRUE
"1981-12",6.0265835,1981,5.3733432,0.6532403,TRUE
"1982-01",5.9809814,1982,5.3733432,0.6076382,TRUE
"1982-02",6.3078412,1982,5.3733432,0.934498,TRUE
"1982-03",6.3222255,1982,5.3733432,0.9488823,TRUE
"1982-04",6.3324355,1982,5.3733432,0.9590923,TRUE
"1982-05",6.5920253,1982,5.3733432,1.2186821,TRUE
"1982-06",6.7658131,1982,5.8108859,0.9549272,TRUE
"1982-07",6.8827436,1982,5.8108859,1.0718577,TRUE
"1982-08",7.0107483,1982,5.8108859,1.1998624,TRUE
"1982-09",7.4280739,1982,5.8719026,1.5561713,TRUE
"1982-10",8.2941302,1982,5.9809814,2.3131488,TRUE
"1982-11",8.6786614,1982,5.9809814,2.69768,TRUE
"1982-12",9.4012451,1982,5.9809814,3.4202637,TRUE
"1983-01",9.2969075,1983,6.3078412,2.9890663,TRUE
"1983-02",9.6578858,1983,6.3222255,3.3356603,TRUE
"1983-03",9.9502615,1983,6.3324355,3.617826,TRUE
"1983-04",10.1514206,1983,6.5920253,3.5593953,TRUE
"1983-05",10.321893,1983,6.7658131,3.5560799,TRUE
"1983-06",10.2027315,1983,6.8827436,3.3199879,TRUE
"1983-07",10.508203,1983,7.0107483,3.4974547,TRUE
"1983-08",10.2179831,1983,7.4280739,2.7899092,TRUE
"1983-09",10.3361924,1983,8.2941302,2.0420622,TRUE
"1983-10",10.0069647,1983,8.6786614,1.3283033,TRUE
"1983-11",9.6532187,1983,9.2969075,0.3563112,FALSE
"1983-12",9.45643,1983,9.2969075,0.1595225,FALSE
"1984-01",9.494318,1984,9.45643,0.0378880000000006,FALSE
"1984-02",9.3848418,1984,9.3848418,0,FALSE
"1984-03",9.2068699,1984,9.2068699,0,FALSE
"1984-04",9.369749,1984,9.2068699,0.162879100000001,FALSE
"1984-05",8.9351662,1984,8.9351662,0,FALSE
"1984-06",9.0953881,1984,8.9351662,0.1602219,FALSE
"1984-07",8.9078384,1984,8.9078384,0,FALSE
"1984-08",8.8275133,1984,8.8275133,0,FALSE
"1984-09",8.7333667,1984,8.7333667,0,FALSE
"1984-10",8.6943266,1984,8.6943266,0,FALSE
"1984-11",8.6779332,1984,8.6779332,0,FALSE
"1984-12",8.5185596,1984,8.5185596,0,FALSE
"1985-01",8.5510857,1985,8.5185596,0.0325261000000001,FALSE
"1985-02",8.3885358,1985,8.3885358,0,FALSE
"1985-03",8.6637376,1985,8.3885358,0.2752018,FALSE
"1985-04",8.4011935,1985,8.3885358,0.0126577000000001,FALSE
"1985-05",8.3742152,1985,8.3742152,0,FALSE
"1985-06",8.5711682,1985,8.3742152,0.196953000000001,FALSE
"1985-07",8.2983214,1985,8.2983214,0,FALSE
"1985-08",8.154409,1985,8.154409,0,FALSE
"1985-09",8.0559394,1985,8.0559394,0,FALSE
"1985-10",7.8475581,1985,7.8475581,0,FALSE
"1985-11",7.9489792,1985,7.8475581,0.1014211,FALSE
"1985-12",7.7834937,1985,7.7834937,0,FALSE
"1986-01",7.8051783,1986,7.7834937,0.0216845999999995,FALSE
"1986-02",8.0018641,1986,7.7834937,0.2183704,FALSE
"1986-03",7.9246306,1986,7.7834937,0.1411369,FALSE
"1986-04",7.900506,1986,7.7834937,0.1170123,FALSE
"1986-05",7.8447272,1986,7.7834937,0.0612335000000002,FALSE
"1986-06",7.6535791,1986,7.6535791,0,FALSE
"1986-07",8.1112907,1986,7.6535791,0.4577116,FALSE
"1986-08",8.2378853,1986,7.6535791,0.5843062,TRUE
"1986-09",8.3366421,1986,7.6535791,0.683063000000001,TRUE
"1986-10",8.3085966,1986,7.6535791,0.6550175,TRUE
"1986-11",8.3173911,1986,7.6535791,0.663812,TRUE
"1986-12",8.3619367,1986,7.6535791,0.708357599999999,TRUE
"1987-01",8.1858508,1987,7.6535791,0.532271700000001,TRUE
"1987-02",8.2097902,1987,7.6535791,0.556211100000001,TRUE
"1987-03",8.4321873,1987,7.6535791,0.778608200000001,TRUE
"1987-04",8.3001594,1987,7.6535791,0.6465803,TRUE
"1987-05",8.199741,1987,7.6535791,0.5461619,TRUE
"1987-06",8.0089343,1987,8.0089343,0,FALSE
"1987-07",8.07837,1987,8.0089343,0.0694356999999997,FALSE
"1987-08",8.1037797,1987,8.0089343,0.0948454000000005,FALSE
"1987-09",7.7538562,1987,7.7538562,0,FALSE
"1987-10",8.0844456,1987,7.7538562,0.3305894,FALSE
"1987-11",7.9296046,1987,7.7538562,0.1757484,FALSE
"1987-12",7.7266676,1987,7.7266676,0,FALSE
"1988-01",7.6296975,1988,7.6296975,0,FALSE
"1988-02",7.4156822,1988,7.4156822,0,FALSE
"1988-03",7.5001973,1988,7.4156822,0.0845151,FALSE
"1988-04",7.9129331,1988,7.4156822,0.4972509,FALSE
"1988-05",7.4492671,1988,7.4156822,0.0335849000000001,FALSE
"1988-06",7.5697183,1988,7.4156822,0.1540361,FALSE
"1988-07",6.7596112,1988,6.7596112,0,FALSE
"1988-08",7.0669969,1988,6.7596112,0.3073857,FALSE
"1988-09",6.9330658,1988,6.7596112,0.173454599999999,FALSE
"1988-10",6.8165621,1988,6.7596112,0.0569508999999995,FALSE
"1988-11",6.6113447,1988,6.6113447,0,FALSE
"1988-12",6.8312343,1988,6.6113447,0.2198896,FALSE
"1989-01",6.8049326,1989,6.6113447,0.1935879,FALSE
"1989-02",6.6365699,1989,6.6113447,0.0252251999999995,FALSE
"1989-03",6.3430853,1989,6.3430853,0,FALSE
"1989-04",6.2003317,1989,6.2003317,0,FALSE
"1989-05",6.2779598,1989,6.2003317,0.0776281000000001,FALSE
"1989-06",6.0120781,1989,6.0120781,0,FALSE
"1989-07",6.045961,1989,6.0120781,0.0338829,FALSE
"1989-08",5.9427133,1989,5.9427133,0,FALSE
"1989-09",6.0297677,1989,5.9427133,0.0870543999999995,FALSE
"1989-10",5.9229387,1989,5.9229387,0,FALSE
"1989-11",5.7854535,1989,5.7854535,0,FALSE
"1989-12",5.8470122,1989,5.7854535,0.0615587,FALSE
"1990-01",6.1098858,1990,5.7854535,0.3244323,FALSE
"1990-02",6.3904846,1990,5.7854535,0.6050311,TRUE
"1990-03",6.1870232,1990,5.7854535,0.4015697,FALSE
"1990-04",6.2795983,1990,5.7854535,0.4941448,FALSE
"1990-05",6.502717,1990,5.7854535,0.7172635,TRUE
"1990-06",6.6089363,1990,5.7854535,0.8234828,TRUE
"1990-07",7.0884249,1990,5.7854535,1.3029714,TRUE
"1990-08",7.2101214,1990,5.7854535,1.4246679,TRUE
"1990-09",7.372906,1990,5.7854535,1.5874525,TRUE
"1990-10",7.6359345,1990,5.7854535,1.850481,TRUE
"1990-11",7.9445312,1990,5.8470122,2.097519,TRUE
"1990-12",8.0179311,1990,6.1098858,1.9080453,TRUE
"1991-01",8.3984199,1991,6.1870232,2.2113967,TRUE
"1991-02",8.6154406,1991,6.1870232,2.4284174,TRUE
"1991-03",9.1841146,1991,6.2795983,2.9045163,TRUE
"1991-04",9.8618369,1991,6.502717,3.3591199,TRUE
"1991-05",9.5003592,1991,6.6089363,2.8914229,TRUE
"1991-06",9.5392172,1991,7.0884249,2.4507923,TRUE
"1991-07",9.6837695,1991,7.2101214,2.4736481,TRUE
"1991-08",9.7898103,1991,7.372906,2.4169043,TRUE
"1991-09",10.0310789,1991,7.6359345,2.3951444,TRUE
"1991-10",9.9860143,1991,7.9445312,2.0414831,TRUE
"1991-11",10.196472,1991,8.0179311,2.1785409,TRUE
"1991-12",10.472428,1991,8.3984199,2.0740081,TRUE
"1992-01",10.3479398,1992,8.6154406,1.7324992,TRUE
"1992-02",10.4036502,1992,9.1841146,1.2195356,TRUE
"1992-03",10.4968413,1992,9.5003592,0.9964821,TRUE
"1992-04",10.4719343,1992,9.5003592,0.971575099999999,TRUE
"1992-05",10.6169691,1992,9.5392172,1.0777519,TRUE
"1992-06",10.8113144,1992,9.6837695,1.1275449,TRUE
"1992-07",11.1279694,1992,9.7898103,1.3381591,TRUE
"1992-08",10.7206628,1992,9.9860143,0.734648499999999,TRUE
"1992-09",10.6150747,1992,9.9860143,0.629060399999998,TRUE
"1992-10",11.0899568,1992,10.196472,0.8934848,TRUE
"1992-11",11.134966,1992,10.3479398,0.7870262,TRUE
"1992-12",11.2162476,1992,10.3479398,0.8683078,TRUE
"1993-01",10.8329938,1993,10.4036502,0.429343600000001,FALSE
"1993-02",11.013171,1993,10.4719343,0.541236700000001,TRUE
"1993-03",10.857442,1993,10.4719343,0.385507700000002,FALSE
"1993-04",10.7660655,1993,10.6150747,0.150990800000001,FALSE
"1993-05",10.7847628,1993,10.6150747,0.1696881,FALSE
"1993-06",10.9929219,1993,10.6150747,0.377847200000001,FALSE
"1993-07",10.9373958,1993,10.6150747,0.3223211,FALSE
"1993-08",10.9812731,1993,10.6150747,0.3661984,FALSE
"1993-09",10.7398567,1993,10.7398567,0,FALSE
"1993-10",10.9561685,1993,10.7398567,0.2163118,FALSE
"1993-11",10.9477609,1993,10.7398567,0.2079042,FALSE
"1993-12",10.7554463,1993,10.7398567,0.0155895999999984,FALSE
"1994-01",10.5667658,1994,10.5667658,0,FALSE
"1994-02",10.3978521,1994,10.3978521,0,FALSE
"1994-03",10.3525117,1994,10.3525117,0,FALSE
"1994-04",10.062609,1994,10.062609,0,FALSE
"1994-05",9.7654853,1994,9.7654853,0,FALSE
"1994-06",9.8193256,1994,9.7654853,0.053840300000001,FALSE
"1994-07",9.6278327,1994,9.6278327,0,FALSE
"1994-08",9.4431203,1994,9.4431203,0,FALSE
"1994-09",9.3527743,1994,9.3527743,0,FALSE
"1994-10",9.091449,1994,9.091449,0,FALSE
"1994-11",9.141764,1994,9.091449,0.0503149999999994,FALSE
"1994-12",8.9342897,1994,8.9342897,0,FALSE
"1995-01",8.8543858,1995,8.8543858,0,FALSE
"1995-02",8.8223066,1995,8.8223066,0,FALSE
"1995-03",8.6159082,1995,8.6159082,0,FALSE
"1995-04",8.2667684,1995,8.2667684,0,FALSE
"1995-05",8.4734403,1995,8.2667684,0.2066719,FALSE
"1995-06",8.352687,1995,8.2667684,0.0859185999999994,FALSE
"1995-07",8.4243708,1995,8.2667684,0.1576024,FALSE
"1995-08",8.3185139,1995,8.2667684,0.0517454999999991,FALSE
"1995-09",8.3614468,1995,8.2667684,0.0946783999999994,FALSE
"1995-10",8.5739255,1995,8.2667684,0.3071571,FALSE
"1995-11",8.4508294,1995,8.2667684,0.184061,FALSE
"1995-12",8.1431228,1995,8.1431228,0,FALSE
"1996-01",8.4510015,1996,8.1431228,0.3078787,FALSE
"1996-02",8.3257298,1996,8.1431228,0.182606999999999,FALSE
"1996-03",8.4199415,1996,8.1431228,0.2768187,FALSE
"1996-04",8.5772075,1996,8.1431228,0.4340847,FALSE
"1996-05",8.4131712,1996,8.1431228,0.2700484,FALSE
"1996-06",8.2538832,1996,8.1431228,0.1107604,FALSE
"1996-07",8.5661015,1996,8.1431228,0.4229787,FALSE
"1996-08",8.7210702,1996,8.1431228,0.577947399999999,TRUE
"1996-09",8.5748758,1996,8.1431228,0.431752999999999,FALSE
"1996-10",8.7581939,1996,8.1431228,0.6150711,TRUE
"1996-11",8.4693999,1996,8.1431228,0.3262771,FALSE
"1996-12",8.6294154,1996,8.2538832,0.375532199999999,FALSE
"1997-01",8.5663946,1997,8.2538832,0.3125114,FALSE
"1997-02",8.7015512,1997,8.2538832,0.447668,FALSE
"1997-03",8.5911166,1997,8.2538832,0.337233399999999,FALSE
"1997-04",8.5673934,1997,8.2538832,0.3135102,FALSE
"1997-05",8.5463147,1997,8.2538832,0.292431499999999,FALSE
"1997-06",8.3302711,1997,8.3302711,0,FALSE
"1997-07",8.5879749,1997,8.3302711,0.257703800000002,FALSE
"1997-08",8.463649,1997,8.3302711,0.133377900000001,FALSE
"1997-09",8.0664903,1997,8.0664903,0,FALSE
"1997-10",8.0320156,1997,8.0320156,0,FALSE
"1997-11",7.9857149,1997,7.9857149,0,FALSE
"1997-12",7.9092769,1997,7.9092769,0,FALSE
"1998-01",7.8646206,1998,7.8646206,0,FALSE
"1998-02",7.7713455,1998,7.7713455,0,FALSE
"1998-03",7.8823283,1998,7.7713455,0.1109828,FALSE
"1998-04",7.6027993,1998,7.6027993,0,FALSE
"1998-05",7.763808,1998,7.6027993,0.1610087,FALSE
"1998-06",7.8314933,1998,7.6027993,0.228694,FALSE
"1998-07",7.9734878,1998,7.6027993,0.3706885,FALSE
"1998-08",7.7540187,1998,7.6027993,0.1512194,FALSE
"1998-09",7.6325599,1998,7.6027993,0.0297606000000004,FALSE
"1998-10",7.3126541,1998,7.3126541,0,FALSE
"1998-11",7.6250814,1998,7.3126541,0.3124273,FALSE
"1998-12",7.1826918,1998,7.1826918,0,FALSE
"1999-01",7.1177067,1999,7.1177067,0,FALSE
"1999-02",7.1141383,1999,7.1141383,0,FALSE
"1999-03",7.0116646,1999,7.0116646,0,FALSE
"1999-04",6.9784981,1999,6.9784981,0,FALSE
"1999-05",7.0240146,1999,6.9784981,0.0455164999999997,FALSE
"1999-06",6.652633,1999,6.652633,0,FALSE
"1999-07",6.6742551,1999,6.652633,0.0216221000000001,FALSE
"1999-08",6.9046782,1999,6.652633,0.2520452,FALSE
"1999-09",7.0402999,1999,6.652633,0.3876669,FALSE
"1999-10",6.7754053,1999,6.652633,0.1227723,FALSE
"1999-11",6.439154,1999,6.439154,0,FALSE
"1999-12",6.6835384,1999,6.439154,0.2443844,FALSE
"2000-01",6.7659439,2000,6.439154,0.3267899,FALSE
"2000-02",6.6180813,2000,6.439154,0.1789273,FALSE
"2000-03",6.5640508,2000,6.439154,0.1248968,FALSE
"2000-04",6.3753294,2000,6.3753294,0,FALSE
"2000-05",6.4134511,2000,6.3753294,0.0381216999999996,FALSE
"2000-06",6.1143844,2000,6.1143844,0,FALSE
"2000-07",5.9531609,2000,5.9531609,0,FALSE
"2000-08",6.0504175,2000,5.9531609,0.0972565999999997,FALSE
"2000-09",5.962258,2000,5.9531609,0.00909709999999997,FALSE
"2000-10",6.0089315,2000,5.9531609,0.0557705999999998,FALSE
"2000-11",6.2608832,2000,5.9531609,0.3077223,FALSE
"2000-12",6.2430121,2000,5.9531609,0.289851199999999,FALSE
"2001-01",6.1372127,2001,5.9531609,0.1840518,FALSE
"2001-02",6.5008502,2001,5.9531609,0.5476893,TRUE
"2001-03",6.4577326,2001,5.9531609,0.5045717,TRUE
"2001-04",6.7812548,2001,5.9531609,0.8280939,TRUE
"2001-05",6.8918921,2001,5.9531609,0.938731199999999,TRUE
